; 01/07/2020; 02/07/2020; 03/07/2020; 06/07/2020; 07/07/2020; 08/07/2020; 09/07/2020; 10/07/2020; 13/07/2020; 14/07/2020; 15/07/2020; 16/07/2020; 17/07/2020; 20/07/2020; 21/07/2020; 22/07/2020; 23/07/2020; 24/07/2020; 27/07/2020; 28/07/2020; 29/07/2020; 30/07/2020; 31/07/2020; TOTAL
    ITAU AG 0269 CC 05670-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    ITAU AG 0269 CC 08606-2;10;10;10;10;10;10;10;10;10;10;10;10;10;10,25;10,25;10;10;10;10;10;10;10;10;
    ITAU AG 2938 CC 27802-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    ITAU AG 8541 CC 24285-8;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;119,84;649,33;26,36;678,42;396,49;396,49;396,49;396,49;2.863,04;0;0;0;1.692,03;
    SANTANDER AG 2263 CC 13052698-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Total dos Bancos;1.702,05;10;10;9.042,89;10;285,12;10;80,22;337,95;206,81;129,84;659,33;36,36;688,67;406,74;406,49;406,49;406,49;2.873,04;10;10;10;1.702,03;
    - Conciliações Pendentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Saídas pendentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Total Disponível;1.702,05;10;10;9.042,89;10;285,12;10;80,22;337,95;206,81;129,84;659,33;36,36;688,67;406,74;406,49;406,49;406,49;2.873,04;10;10;10;1.702,03;
    - Diferença;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,52;
