; 01/07/2020; 02/07/2020; 03/07/2020; 06/07/2020; 07/07/2020; 08/07/2020; 09/07/2020; 10/07/2020; 13/07/2020; 14/07/2020; 15/07/2020; 16/07/2020; 17/07/2020; 20/07/2020; 21/07/2020; 22/07/2020; 23/07/2020; 24/07/2020; 27/07/2020; 28/07/2020; 29/07/2020; 30/07/2020; 31/07/2020; TOTAL
  09  MANUTENCAO OPERACIONAL;-602,76;0;0;-4.150,71;-1.373,70;0;0;-403,14;-371,3;-1.597,44;-5.968,62;0;-3.443,77;-3.500,00;0;-5.968,62;-144;-1.297,31;-5.703,50;-1.258,94;0;0;-9.074,15;-44.857,96
    0901  AR CONDICIONADO;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.500,00;0;0;0;0;0;0;0;0;-7.649,98;-11.149,98
    0906  DEDETIZACAO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-986,31;-2.333,80;0;0;0;0;-3.320,11
    0907  ELEVADORES;0;0;0;0;0;0;0;-373,14;0;0;-5.968,62;0;0;0;0;-5.968,62;0;0;0;0;0;0;0;-12.310,38
    0910  EQUIPAMENTOS DE TELEFONIA;0;0;0;-783,6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-783,6
    0916  PISCINA;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-311;0;0;0;0;0;-311
    0917  PREVENCAO DE INCENDIO;0;0;0;-2.000,00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.000,00
    0918  REMOCAO DE LIXO;0;0;0;0;0;0;0;0;0;-1.597,44;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.597,44
    0919  SUPRIMENTOS DE MANUTENCAO -ELETRICA;0;0;0;-325,62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-325,62
    0920  SUPRIMENTOS DE MANUTENCAO - CIVIL;-17,76;0;0;-1.041,49;-1.373,70;0;0;-30;-371,3;0;0;0;-2.797,87;0;0;0;-144;0;-3.369,70;-1.258,94;0;0;-1.424,17;-11.828,93
    0924  TRATAMENTO DE AGUA;-585;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-585
    0925  SERVICOS DE LIMPEZA TECNICA;0;0;0;0;0;0;0;0;0;0;0;0;-585,9;0;0;0;0;0;0;0;0;0;0;-585,9
    0926  OUTROS SERVICOS TECNICOS;0;0;0;0;0;0;0;0;0;0;0;0;-60;0;0;0;0;0;0;0;0;0;0;-60
    1101  TELEFONIA ADMINISTRATIVA;0;0;0;0;0;0;0;-30;0;0;0;0;0;0;0;0;0;-94,77;0;0;0;0;0;-124,77
    1103  SISTEMA DE INFORMATICA;0;0;-1.511,41;-587,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.591,43;0;0;-587,22;0;-4.277,28
    1104  MATERIAL DE ESCRITORIO - ADM.;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-165,8;0;0;0;-165,8
    1109  ASSOCIACOES;0;0;0;0;0;0;0;-589,4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-589,4
    1114  COPIAS;-3.644,90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.644,90
    1125  PESQUISAS CADASTRAIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-125,55;0;-125,55
    1127  SERVICOS DE VIGILANCIA E SEGURANCA;0;-15.344,62;0;0;0;0;0;-2.442,00;0;0;0;0;0;-2.442,00;0;0;0;0;0;0;0;-2.442,00;0;-22.670,62
    1202  SERVICOS DE CONTABILIDADE;0;0;0;0;0;0;0;0;0;0;-1.645,47;0;0;0;0;0;0;0;0;0;0;0;0;-1.645,47
    1207  OUTROS CONTRATOS E SERVICOS ADM;0;0;0;0;0;0;0;-4.149,44;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-76,71;-4.226,15
    1639  SERV COMPART-PESSOAL ADM (+) D;0;0;0;0;0;0;0;-2.457,12;0;0;0;0;0;0;0;0;0;0;0;0;0;-12.748,62;0;-15.205,74
    1640  SERV COMPART-PESSOAL MANUTENCAO(+)D;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.529,60;0;-6.529,60
  17  COMISSOES SOBRE VENDAS;0;0;0;0;0;0;0;-44,4;0;0;0;-8.676,46;0;0;-289,44;0;0;0;0;-43,2;0;-743,2;0;-9.796,70
    1701  COMISSOES NACIONAIS;0;0;0;0;0;0;0;-44,4;0;0;0;0;0;0;-289,44;0;0;0;0;0;0;-743,2;0;-1.077,04
    1705  TAXA SOBRE RESERVAS EFETUADAS;0;0;0;0;0;0;0;0;0;0;0;-8.676,46;0;0;0;0;0;0;0;-43,2;0;0;0;-8.719,66
  19  DESPESAS COMERCIAIS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.383,00;0;0;-1.383,00
    1901  PROGRAMA DE FIDELIDADE-CANAL DE TER;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.383,00;0;0;-1.383,00
    3201  ADTO A FORNECEDORES;0;0;0;0;0;0;0;0;-11.725,33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-11.725,33
  42  OBRIGACOES COM TERCEIROS;0;-1.508,87;0;0;0;0;0;0;0;0;-7.902,30;0;0;0;0;0;0;0;0;0;0;0;0;-9.411,17
    4208  REEMBOLSO P/ CLIENTES (OBRIG.TERC);0;-1.508,87;0;0;0;0;0;0;0;0;-7.902,30;0;0;0;0;0;0;0;0;0;0;0;0;-9.411,17
    5101  INSTALACOES (OBRAS EM ANDAMENTO);0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.937,50;0;0;0;0;-2.937,50
Fornecedores Serviços Contratados;-5.231,71;-16.853,49;-1.511,41;-8.098,99;-16.292,56;0;0;-10.115,50;-12.096,63;-1.597,44;-24.362,19;-10.079,79;-3.443,77;-6.435,08;-289,44;-16.853,49;-144;-5.710,57;-10.232,43;-1.496,44;-1.383,00;-24.579,51;-22.177,16;-198.984,60
IMPOSTOS;0;0;-2.749,85;0;0;0;0;0;0;0;0;-2.382,60;0;-24.150,80;0;0;0;0;0;0;0;0;0;-29.283,25
    4310  IRRF S/FOLHA A RECOLHER;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.056,14;0;0;0;0;0;0;0;0;0;-6.056,14
IRRF;0;0;0;0;0;0;0;0;0;0;0;0;0;-6.056,14;0;0;0;0;0;0;0;0;0;-6.056,14
CSSL;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    4304  INSS RETIDOS DE TERCEIROS;0;0;0;0;0;0;0;0;0;0;0;0;0;-11.231,48;0;0;0;0;0;0;0;0;0;-11.231,48
INSS s/ Terceiros;0;0;0;0;0;0;0;0;0;0;0;0;0;-11.231,48;0;0;0;0;0;0;0;0;0;-11.231,48
    5503  PIS - CUMULATIVO;0;0;0;0;0;0;0;0;0;0;0;0;0;-223,76;0;0;0;0;0;0;0;0;0;-223,76
PIS;0;0;0;0;0;0;0;0;0;0;0;0;0;-223,76;0;0;0;0;0;0;0;0;0;-223,76
    4303  RET. LEI 10833 PIS/COFINS/CSL;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.630,41;0;0;0;0;0;0;0;0;0;-2.630,41
    5502  COFINS - CUMULATIVO;0;0;0;0;0;0;0;0;0;0;0;0;0;-1.030,68;0;0;0;0;0;0;0;0;0;-1.030,68
COFINS;0;0;0;0;0;0;0;0;0;0;0;0;0;-3.661,09;0;0;0;0;0;0;0;0;0;-3.661,09
ICMS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
IPTU;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    4301  ISS RETIDO NA FONTE A RECOLHER;0;0;-2.568,22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.568,22
    5501  IMPOSTOS SOBRE SERVICOS - ISS;0;0;-181,63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-181,63
ISSQN;0;0;-2.749,85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.749,85
    3002  IRPJ-IMPOSTO REND S/PESSOA JURIDICA;0;0;0;0;0;0;0;0;0;0;0;-2.382,60;0;0;0;0;0;0;0;0;0;0;0;-2.382,60
    4302  IRRF RETIDO DE TERCEIROS;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.978,33;0;0;0;0;0;0;0;0;0;-2.978,33
Outros;0;0;0;0;0;0;0;0;0;0;0;-2.382,60;0;-2.978,33;0;0;0;0;0;0;0;0;0;-5.360,93
    1001  ENERGIA ELETRICA;0;0;0;0;0;0;0;0;-25.846,51;0;-2.079,75;0;0;0;-55.966,16;0;0;0;0;0;-7.768,29;-5.078,04;0;-96.738,75
    1003  GAS;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-41,89;0;0;0;0;-41,89
Utilidades;0;0;0;0;0;0;0;0;-25.846,51;0;-2.079,75;0;0;0;-55.966,16;0;0;0;-41,89;0;-7.768,29;-5.078,04;0;-96.780,64
Fee Golden Tulip;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    1121  TARIFAS BANCARIAS;-2.016,10;0;0;-61,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.078,00
Tarifas Bancárias;-2.016,10;0;0;-61,9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.078,00
O P E R A C I O N A L 1;-5.555,76;-16.853,49;-2.919,26;-1.833,71;-34.497,15;11.895,42;4.491,01;-74.106,23;-37.615,19;10.782,39;-33.314,10;19.737,18;-3.417,41;-60.074,28;-56.255,60;-23.861,07;-144;-5.710,57;-7.411,28;19.997,56;-9.151,29;-30.559,98;-149.531,07;-485.907,88
    3802  INSTALACOES (IMOBILIZADO);-2.458,08;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-2.458,08
    5003  GASTO IMPLANT SISTEMAS(DIFERIDOS);-63.705,02;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-63.705,02
    7101  INSTALAÇÕES - BIG;0;0;0;-3.048,00;0;-2.840,48;0;0;-11.636,26;0;0;0;0;-7.924,02;0;-2.014,96;0;0;-838,75;0;0;-2.200,00;0;-30.502,47
    7110  ENXOVAL - BIG;0;0;0;0;0;0;0;0;-472,65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;-472,65
Capex;-66.163,10;0;0;-3.048,00;0;-2.840,48;0;0;-12.108,91;0;0;0;0;-7.924,02;0;-2.014,96;0;0;-838,75;0;0;-2.200,00;0;-97.138,22
M E A;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
O P E R A C I O N A L 2;-71.718,86;-16.853,49;-2.919,26;-4.881,71;-34.497,15;9.054,94;4.491,01;-74.106,23;-49.724,10;10.782,39;-33.314,10;19.737,18;-3.417,41;-67.998,30;-56.255,60;-25.876,03;-144;-5.710,57;-8.250,03;19.997,56;-9.151,29;-32.759,98;-149.531,07;-583.046,10
    2805  IOF (DESPESA);0;0;0;0;0;0;0;0;0;0;0;-33,1;0;0;0;0;0;0;0;0;0;0;-4,25;-37,35
Despesas Financeiras;0;0;0;0;0;0;0;0;0;0;0;-33,1;0;0;0;0;0;0;0;0;0;0;-4,25;-37,35
  37  INTERCOMPANHIA;0;0;0;0;0;0;-4.766,13;0;0;-12.510,97;0;-21.266,75;0;0;0;0;0;0;0;-968,4;0;0;0;-39.512,25
    3714  BHG SP (INTERCOMPANY);0;0;0;0;0;0;-4.766,13;0;0;-12.510,97;0;-21.266,75;0;0;0;0;0;0;0;-968,4;0;0;0;-39.512,25
(-) Intercompany entre Coligadas;0;0;0;0;0;0;-4.766,13;0;0;-12.510,97;0;-21.266,75;0;0;0;0;0;0;0;-968,4;0;0;0;-39.512,25
  31  INTERCOMPANY;73.410,91;15.161,44;3.527,93;14.804,70;25.464,26;2.000,00;0;74.176,45;38.147,59;1.597,44;33.237,13;0;2.794,44;68.650,61;55.973,67;25.861,07;144;5.710,57;10.940,33;0;9.151,29;157.416,89;26.366,19;644.536,91
    3114  BHG SP (INTERCOMPANY);73.410,91;15.161,44;3.527,93;14.804,70;25.464,26;2.000,00;0;74.176,45;38.147,59;1.597,44;33.237,13;0;2.794,44;68.650,61;55.973,67;25.861,07;144;5.710,57;10.940,33;0;9.151,29;157.416,89;26.366,19;644.536,91
(+) Intercompany entre Coligadas;73.410,91;15.161,44;3.527,93;14.804,70;25.464,26;2.000,00;0;74.176,45;38.147,59;1.597,44;33.237,13;0;2.794,44;68.650,61;55.973,67;25.861,07;144;5.710,57;10.940,33;0;9.151,29;157.416,89;26.366,19;644.536,91
(-) Mútuo entre Coligadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(+) Mútuo entre Coligadas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    5301  APLICACOES FINANCEIRAS;0;0;-608,67;-942;0;-10.779,82;0;0;0;0;0;0;0;0;0;0;0;0;-223,75;-21.892,20;0;-124.856,91;0;-159.303,35
Aplicação;0;0;-608,67;-942;0;-10.779,82;0;0;0;0;0;0;0;0;0;0;0;0;-223,75;-21.892,20;0;-124.856,91;0;-159.303,35
    1511  APLICACOES FINANCEIRAS;0;0;0;51,9;0;0;0;0;11.833,79;0;0;2.091,93;0;0;0;14,71;0;0;0;0;0;199,96;124.844,62;139.036,91
Resgate;0;0;0;51,9;0;0;0;0;11.833,79;0;0;2.091,93;0;0;0;14,71;0;0;0;0;0;199,96;124.844,62;139.036,91
    1501  JUROS SOBRE APLICACOES FINANCEIRAS;0;0;0;0;0;0;0;0;0,45;0;0;0,23;0;0;0;0;0;0;0;0;0;0,04;16,71;17,43
Receita Financeira;0;0;0;0;0;0;0;0;0,45;0;0;0,23;0;0;0;0;0;0;0;0;0;0,04;16,71;17,43
(-) Afac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
(+) Afac;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Transferências entre Contas;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
    5901  TRANSFERENCIAS ENTRE CONTAS;0;-1.692,05;0;0;-9.032,89;0;-275,12;0;-70,22;-327,95;-196,81;-9.119,84;-649,33;-26,36;-281,93;0;0;0;-396,49;-2.863,04;0;-124.856,91;0;-149.788,94
Transferências Bancárias entre Contas (-);0;-1.692,05;0;0;-9.032,89;0;-275,12;0;-70,22;-327,95;-196,81;-9.119,84;-649,33;-26,36;-281,93;0;0;0;-396,49;-2.863,04;0;-124.856,91;0;-149.788,94
    TRANSFERENCIA ENTRE CONTAS;0;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;9.119,84;649,33;26,36;281,93;0;0;0;396,49;2.863,04;0;124.856,91;0;149.788,94
Transferências Bancárias entre  Contas (+);0;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;9.119,84;649,33;26,36;281,93;0;0;0;396,49;2.863,04;0;124.856,91;0;149.788,94
Saldo a Transportar;1.702,40;10,35;10,35;9.043,24;10,35;285,47;10,35;80,57;338,3;207,16;130,19;659,68;36,71;689,02;407,09;406,84;406,84;406,84;2.873,39;10,35;10,35;10,35;1.702,55;1.702,55
--> Saldo das Contas;;;;;;;;;;;;;;;;;;;;;;;;
    ITAU AG 0269 CC 05670-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    ITAU AG 0269 CC 08606-2;10;10;10;10;10;10;10;10;10;10;10;10;10;10,25;10,25;10;10;10;10;10;10;10;10;
    ITAU AG 2938 CC 27802-1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    ITAU AG 8541 CC 24285-8;1.692,05;0;0;9.032,89;0;275,12;0;70,22;327,95;196,81;119,84;649,33;26,36;678,42;396,49;396,49;396,49;396,49;2.863,04;0;0;0;1.692,03;
    SANTANDER AG 2263 CC 13052698-9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Total dos Bancos;1.702,05;10;10;9.042,89;10;285,12;10;80,22;337,95;206,81;129,84;659,33;36,36;688,67;406,74;406,49;406,49;406,49;2.873,04;10;10;10;1.702,03;
    - Conciliações Pendentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Saídas pendentes;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
    - Total Disponível;1.702,05;10;10;9.042,89;10;285,12;10;80,22;337,95;206,81;129,84;659,33;36,36;688,67;406,74;406,49;406,49;406,49;2.873,04;10;10;10;1.702,03;
    - Diferença;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,35;0,52;
